actor_id,actor_name,degree_centrality,betweenness_centrality,degree
nm0000849,Javier Bardem,0.0015934578034334506,0.0003721605408284077,53
nm0603090,Laura Morante,0.0002705871741679444,4.9911623516230496e-06,9
nm0098709,Juan Diego Botto,0.0001803914494452963,1.3612593149664263e-06,6
nm0617799,Elvira Mínguez,9.019572472264814e-05,0.0,3
nm0089231,Scott Bloom,9.019572472264814e-05,0.0,3
nm0175305,Kevin Connolly,0.0003607828988905926,4.422225605880889e-05,12
nm0001497,Tobey Maguire,0.0009320224888006975,0.0001499924415362245,31
nm0000138,Leonardo DiCaprio,0.0015333273202850185,0.00028935126531752037,51
nm0000639,Ally Sheedy,0.000631370073058537,0.0002474848432053016,21
nm0641168,Brian O'Halloran,0.0013830011124139382,0.0010085700933198062,46
nm0377888,Justin Henry,9.019572472264814e-05,0.0,3
nm0290969,Jason David Frank,9.019572472264814e-05,0.0,3
nm0000461,Michael Ironside,0.0028261327079763085,0.006092230018055799,94
nm0001781,Julie Strain,9.019572472264814e-05,0.0,3
nm0002150,Billy Idol,9.019572472264814e-05,0.0,3
nm0463233,Pier Paquette,9.019572472264814e-05,0.0,3
nm0001108,Robert Davi,0.0022248278764919875,0.004682217677013076,74
nm0001456,Kelly LeBrock,9.019572472264814e-05,0.0,3
nm0852082,Byron Taylor,9.019572472264814e-05,0.0,3
nm1325216,Roxanne Burger,9.019572472264814e-05,0.0,3
nm0000450,Philip Seymour Hoffman,0.001833979736027179,0.0005767881679388238,61
nm0000513,William H. Macy,0.001894110219175611,0.0007243558932749574,63
nm0682071,Rebecca Pidgeon,0.0004209133820390247,0.0003491634503934816,14
nm0383449,Michael Higgins,9.019572472264814e-05,0.0,3
nm0424682,Bryan Johnson,9.019572472264814e-05,0.0,3
nm0507915,Jerry Lewkowitz,9.019572472264814e-05,0.0,3
nm0839486,Ethan Suplee,0.0003607828988905926,0.0001398974663216139,12
nm0000154,Mel Gibson,0.0021346321517693393,0.001865098854355974,71
nm0768018,Julia Sawalha,0.0003607828988905926,0.00016974370929375527,12
nm0200057,Phil Daniels,0.0001803914494452963,6.820609153883119e-06,6
nm0272521,Lynn Ferguson,9.019572472264814e-05,0.0,3
nm0344435,Ioan Gruffudd,0.0009620877303749136,0.0002232907165730331,32
nm0004821,Michael Chiklis,0.0008117615225038333,0.00010853920959727679,27
nm0262635,Chris Evans,0.0022849583596404196,0.001353322673349001,76
nm0004695,Jessica Alba,0.001894110219175611,0.0008712000508935239,63
