actor_id,actor_name,genres
nm0000191,Ewan McGregor,"['Action', 'Adventure', 'Fantasy']"
nm0000168,Samuel L. Jackson,"['Action', 'Adventure', 'Fantasy']"
nm0000454,Dennis Hopper,"['Drama', 'Thriller']"
nm0005420,Marley Shelton,"['Drama', 'Thriller']"
nm0347957,Devon Gummersall,"['Drama', 'Thriller']"
nm0001735,Talia Shire,"['Drama', 'Thriller']"
nm0002006,Thomas Haden Church,"['Comedy', 'Horror', 'Mystery']"
nm0881948,Justin Urich,"['Comedy', 'Horror', 'Mystery']"
nm0005160,Lisa Loeb,"['Comedy', 'Horror', 'Mystery']"
nm0653959,Rick Overton,"['Comedy', 'Horror', 'Mystery']"
nm0000141,David Duchovny,"['Comedy', 'Drama', 'Romance']"
nm0000378,Minnie Driver,"['Comedy', 'Drama', 'Romance']"
nm0005279,Carroll O'Connor,"['Comedy', 'Drama', 'Romance']"
nm0005162,Robert Loggia,"['Comedy', 'Drama', 'Romance']"
nm0513281,Alex D. Linz,"['Comedy', 'Drama']"
nm0000511,Shirley MacLaine,"['Comedy', 'Drama']"
nm0000641,Gary Sinise,"['Comedy', 'Drama']"
nm0000725,Joey Lauren Adams,"['Comedy', 'Drama']"
nm0001698,John Savage,['Comedy']
nm0005554,James Wilder,['Comedy']
nm0056249,Joanne Baron,['Comedy']
nm1304423,Ceasar Cavaricci,['Comedy']
nm0000969,Lillo Brancato,"['Comedy', 'Crime']"
nm0532461,Justina Machado,"['Comedy', 'Crime']"
nm0116599,Keith Brunsmann,"['Comedy', 'Crime']"
nm0471180,David Kriegel,"['Comedy', 'Crime']"
nm0000244,Sigourney Weaver,"['Comedy', 'Crime', 'Romance']"
nm0001349,Jennifer Love Hewitt,"['Comedy', 'Crime', 'Romance']"
nm0000432,Gene Hackman,"['Comedy', 'Crime', 'Romance']"
nm0000501,Ray Liotta,"['Comedy', 'Crime', 'Romance']"
nm0000196,Mike Myers,"['Adventure', 'Animation', 'Comedy']"
nm0000552,Eddie Murphy,"['Adventure', 'Animation', 'Comedy']"
nm0000139,Cameron Diaz,"['Adventure', 'Animation', 'Comedy']"
nm0001475,John Lithgow,"['Adventure', 'Animation', 'Comedy']"
nm0001082,Billy Crudup,"['Drama', 'Mystery', 'Romance']"
nm1123814,Bill Haugland,"['Drama', 'Mystery', 'Romance']"
nm0485011,Nelson Landrieu,"['Drama', 'Mystery', 'Romance']"
nm0171583,Ivonne Coll,"['Drama', 'Mystery', 'Romance']"
nm0435218,Terry Kiser,['Drama']
nm0596959,Richard Moll,['Drama']
nm0908914,Dee Wallace,['Drama']
nm0931080,Kevin Dean Williams,['Drama']
nm0000665,D.B. Sweeney,"['Adventure', 'Animation', 'Drama']"
nm0000523,Julianna Margulies,"['Adventure', 'Animation', 'Drama']"
nm0942787,Samuel E. Wright,"['Adventure', 'Animation', 'Drama']"
nm0005569,Alfre Woodard,"['Adventure', 'Animation', 'Drama']"
nm1317822,Sean Miller,"['Action', 'Crime', 'Sci-Fi']"
nm0816839,Jonny Spanish,"['Action', 'Crime', 'Sci-Fi']"
nm0453548,Julienne Hanzelka Kim,"['Action', 'Crime', 'Sci-Fi']"
nm0004193,Debbie Rochon,"['Action', 'Crime', 'Sci-Fi']"
nm0000134,Robert De Niro,"['Adventure', 'Animation', 'Comedy']"
nm0000623,Rene Russo,"['Adventure', 'Animation', 'Comedy']"
nm0005305,Piper Perabo,"['Adventure', 'Animation', 'Comedy']"
nm0004517,Jason Alexander,"['Adventure', 'Animation', 'Comedy']"
nm0000230,Sylvester Stallone,"['Action', 'Drama', 'Sport']"
nm0661164,Kip Pardue,"['Action', 'Drama', 'Sport']"
nm0001709,Til Schweiger,"['Action', 'Drama', 'Sport']"
nm0000608,Burt Reynolds,"['Action', 'Drama', 'Sport']"
nm0940158,Bokeem Woodbine,['Thriller']
nm0715953,Roger Rees,['Thriller']
nm0682399,Justin Pierce,['Thriller']
nm0461355,Sascha Knopf,['Thriller']
nm0000379,Kirsten Dunst,"['Action', 'Crime', 'Fantasy']"
nm0040472,William Atherton,"['Action', 'Crime', 'Fantasy']"
nm0266631,Debbie Fan,"['Action', 'Crime', 'Fantasy']"
nm0531095,Eric Mabius,"['Action', 'Crime', 'Fantasy']"
nm0000242,Mark Wahlberg,"['Action', 'Adventure', 'Sci-Fi']"
nm0000307,Helena Bonham Carter,"['Action', 'Adventure', 'Sci-Fi']"
nm0000619,Tim Roth,"['Action', 'Adventure', 'Sci-Fi']"
nm0003817,Michael Clarke Duncan,"['Action', 'Adventure', 'Sci-Fi']"
nm0330687,Joseph Gordon-Levitt,"['Adventure', 'Animation', 'Family']"
nm0000668,Emma Thompson,"['Adventure', 'Animation', 'Family']"
nm0001737,Martin Short,"['Adventure', 'Animation', 'Family']"
nm0001975,Roscoe Lee Browne,"['Adventure', 'Animation', 'Family']"
nm0320547,Carmine Giovinazzo,"['Crime', 'Drama', 'Thriller']"
nm0274371,Louis Ferreira,"['Crime', 'Drama', 'Thriller']"
nm0000947,Karen Black,"['Crime', 'Drama', 'Thriller']"
nm0648846,Peter Onorati,"['Crime', 'Drama', 'Thriller']"
nm0000274,David Arquette,"['Horror', 'Mystery']"
nm0000117,Neve Campbell,"['Horror', 'Mystery']"
nm0001073,Courteney Cox,"['Horror', 'Mystery']"
nm0000630,Liev Schreiber,"['Horror', 'Mystery']"
nm0507271,Huey Lewis,"['Comedy', 'Drama', 'Music']"
nm0000569,Gwyneth Paltrow,"['Comedy', 'Drama', 'Music']"
nm0316079,Paul Giamatti,"['Comedy', 'Drama', 'Music']"
nm0105672,Andre Braugher,"['Comedy', 'Drama', 'Music']"
nm0593664,Radha Mitchell,"['Action', 'Horror', 'Sci-Fi']"
nm0369513,Cole Hauser,"['Action', 'Horror', 'Sci-Fi']"
nm0004874,Vin Diesel,"['Action', 'Horror', 'Sci-Fi']"
